"first_seen_utc","dst_ip","dst_port","c2_status","last_online","malware"
"2021-01-17 07:30:05","67.213.75.205","443","online","2021-03-24","Dridex"
"2021-01-17 07:44:46","192.73.238.101","443","online","2021-03-24","Dridex"
"2021-01-17 07:44:46","51.178.161.32","4643","online","2021-03-24","Dridex"
"2021-01-17 07:44:46","194.58.98.196","3389","online","2021-03-24","Dridex"
"2021-01-17 07:44:47","142.4.6.57","14043","online","2021-03-24","Dridex"
"2021-01-17 07:44:47","64.225.35.35","3098","online","2021-03-24","Dridex"
"2021-01-17 07:44:47","195.159.28.230","4443","online","2021-03-24","Dridex"
"2021-01-17 07:44:47","103.110.53.174","449","online","2021-03-24","Dridex"
"2021-01-17 07:44:49","93.186.200.154","3889","online","2021-03-24","Dridex"
"2021-01-17 07:44:50","162.144.127.197","3786","online","2021-03-24","Dridex"
"2021-01-17 07:44:57","103.61.101.11","449","online","2021-03-24","Dridex"
"2021-01-17 07:45:29","5.9.178.143","443","online","2021-03-24","Dridex"
"2021-01-17 07:45:29","37.139.2.140","3889","online","2021-03-24","Dridex"
"2021-01-17 07:45:31","49.212.179.180","3889","online","2021-03-24","Dridex"
"2021-01-17 07:45:37","23.160.192.125","447","online","2021-03-24","Dridex"
"2021-01-17 07:45:41","195.231.69.151","3889","online","2021-03-24","Dridex"
"2021-01-17 07:45:41","221.126.244.72","443","online","2021-03-24","Dridex"
"2021-01-17 07:45:41","157.7.166.26","5353","online","2021-03-24","Dridex"
"2021-01-17 07:45:41","212.129.24.83","3889","online","2021-03-24","Dridex"
"2021-01-17 07:45:42","208.71.173.207","3098","online","2021-03-24","Dridex"
"2021-01-17 07:45:42","80.86.91.27","3308","online","2021-03-24","Dridex"
"2021-01-17 07:45:43","5.100.228.233","3389","online","2021-03-24","Dridex"
"2021-01-17 07:45:43","77.220.64.37","443","online","2021-03-24","Dridex"
"2021-01-17 07:45:43","46.105.131.65","1512","online","2021-03-24","Dridex"
"2021-01-17 07:45:45","69.64.62.4","4443","online","2021-03-24","Dridex"
"2021-01-17 07:45:46","162.241.44.26","9443","online","2021-03-24","Dridex"
"2021-01-17 07:45:55","111.230.104.169","3388","online","2021-03-24","Dridex"
"2021-01-17 07:45:58","217.79.184.243","33443","online","2021-03-24","Dridex"
"2021-01-17 07:46:24","194.150.118.7","443","online","2021-03-24","Dridex"
"2021-01-17 07:46:38","199.66.90.63","443","online","2021-03-24","Dridex"
"2021-01-17 07:46:39","81.169.224.222","3389","online","2021-03-24","Dridex"
"2021-01-17 07:46:40","62.75.168.106","3886","online","2021-03-24","Dridex"
"2021-01-17 07:46:40","82.165.152.127","3389","online","2021-03-24","Dridex"
"2021-01-17 07:46:41","178.254.40.132","691","online","2021-03-24","Dridex"
"2021-01-17 07:47:11","216.172.165.70","3889","online","2021-03-24","Dridex"
"2021-01-17 07:47:25","85.207.13.169","443","online","2021-03-24","Dridex"
"2021-01-17 07:47:58","104.131.164.93","443","online","2021-03-24","Dridex"
"2021-01-17 07:47:59","46.101.90.205","4643","online","2021-03-24","Dridex"
"2021-01-17 07:48:15","123.206.58.135","8172","online","2021-03-24","Dridex"
"2021-01-17 07:49:10","94.126.8.2","443","online","2021-03-24","Dridex"
"2021-01-17 07:49:21","77.220.64.39","443","online","2021-03-24","Dridex"
"2021-01-17 07:49:22","78.47.139.43","4443","online","2021-03-24","Dridex"
"2021-01-17 07:49:33","89.174.36.41","4643","online","2021-03-24","Dridex"
"2021-01-17 07:49:33","169.255.216.36","443","online","2021-03-24","Dridex"
"2021-01-17 07:49:33","193.90.12.122","3098","online","2021-03-24","Dridex"
"2021-01-17 07:49:46","103.40.116.68","5443","online","2021-03-24","Dridex"
"2021-01-17 07:49:52","67.79.105.174","3786","online","2021-03-24","Dridex"
"2021-01-17 07:49:53","45.79.226.106","3098","online","2021-03-24","Dridex"
"2021-01-17 07:49:55","2.58.16.89","8443","online","2021-03-24","Dridex"
"2021-01-17 07:49:57","27.254.174.93","33443","online","2021-03-24","Dridex"
"2021-01-17 07:49:57","178.254.22.25","33443","online","2021-03-24","Dridex"
"2021-01-17 07:49:58","45.56.127.75","49160","online","2021-03-24","Dridex"
"2021-01-17 07:50:03","103.41.110.115","33443","online","2021-03-24","Dridex"
"2021-01-17 07:50:03","209.59.199.129","4443","online","2021-03-24","Dridex"
"2021-01-17 07:50:16","54.38.143.246","691","online","2021-03-24","Dridex"
"2021-01-17 07:50:19","153.122.13.133","1443","online","2021-03-24","Dridex"
"2021-01-17 07:50:24","142.93.181.37","981","online","2021-03-24","Dridex"
"2021-01-17 07:50:26","92.38.128.47","3389","online","2021-03-24","Dridex"
"2021-01-17 07:50:28","188.165.17.91","8443","online","2021-03-24","Dridex"
"2021-01-17 07:50:34","188.40.34.210","4643","online","2021-03-24","Dridex"
"2021-01-17 07:50:39","195.159.28.229","981","online","2021-03-24","Dridex"
"2021-01-17 07:50:40","178.62.23.64","4664","online","2021-03-24","Dridex"
"2021-01-17 07:50:41","167.99.158.82","33443","online","2021-03-24","Dridex"
"2021-01-17 07:50:42","103.244.206.74","33443","online","2021-03-24","Dridex"
"2021-01-17 07:50:43","193.90.12.121","3098","online","2021-03-24","Dridex"
"2021-01-17 07:50:44","162.241.204.233","4443","online","2021-03-24","Dridex"
"2021-01-17 07:50:45","138.122.143.40","8043","online","2021-03-24","Dridex"
"2021-01-17 07:50:45","198.57.200.100","3786","online","2021-03-24","Dridex"
"2021-01-17 07:50:46","175.126.167.148","443","online","2021-03-24","Dridex"
"2021-01-17 07:50:46","85.25.109.116","3889","online","2021-03-24","Dridex"
"2021-01-17 07:50:46","185.59.223.86","443","online","2021-03-24","Dridex"
"2021-01-17 07:50:47","87.106.89.36","3389","online","2021-03-24","Dridex"
"2021-01-17 07:50:48","51.15.176.55","3389","online","2021-03-24","Dridex"
"2021-01-17 07:50:48","27.254.174.84","4443","online","2021-03-24","Dridex"
"2021-01-17 07:50:48","172.86.186.22","3889","online","2021-03-24","Dridex"
"2021-01-17 07:50:49","62.138.14.216","3074","online","2021-03-24","Dridex"
"2021-01-17 07:50:49","46.4.83.131","3389","online","2021-03-24","Dridex"
"2021-01-17 07:50:50","213.202.229.72","3074","online","2021-03-24","Dridex"
"2021-01-17 07:50:57","52.73.70.149","443","online","2021-03-24","Dridex"
"2021-01-17 07:50:58","8.4.9.152","3786","online","2021-03-24","Dridex"
"2021-01-17 07:50:59","185.246.87.202","3098","online","2021-03-24","Dridex"
"2021-01-17 08:50:18","69.16.193.166","9443","online","2021-03-24","Dridex"
"2021-01-18 06:46:17","217.160.78.166","4664","online","2021-03-24","Dridex"
"2021-01-18 06:47:39","45.77.154.161","1688","online","2021-03-24","Dridex"
"2021-01-18 06:49:38","69.164.207.140","3388","online","2021-03-24","Dridex"
"2021-01-18 06:51:05","46.105.131.78","14431","online","2021-03-24","Dridex"
"2021-01-18 09:16:38","36.89.191.119","449","online","2021-03-24","TrickBot"
"2021-01-18 09:16:52","103.61.101.11","447","online","2021-03-24","TrickBot"
"2021-01-18 09:17:01","23.160.192.125","447","online","2021-03-24","TrickBot"
